11,454258
2,454361
-12,454461
0,454664
-2,454766
-1,454866
1,454969
-5,455170
1,455272
9,455372
-4,455475
-3,455677
-6,455778
-4,455880
3,456183
4,456286
-1,456386
-3,456488
-1,456691
5,456792
-2,456894
-1,456994
-3,457197
-3,457299
4,457400
4,457500
2,457703
0,457805
0,457906
-3,458008
-1,458211
-4,458311
3,458414
-2,458514
1,458616
3,458717
-1,458819
0,458919
-1,459122
-2,459225
1,459325
1,459427
2,459628
1,459730
-1,459831
0,459933
-1,460136
0,460236
0,460339
2,460439
0,460642
2,460744
0,460845
-1,460947
-1,461150
0,461250
2,461350
-1,461453
-1,461656
1,461756
-2,461858
0,461959
0,462161
-3,462264
4,462364
-1,462467
3,462669
-1,462770
-1,462872
7,462972
0,463175
0,463278
-5,463378
3,463478
-3,463681
4,463783
2,463884
0,463986
2,464087
3,464189
-4,464289
-6,464392
-5,464594
0,464695
11,464797
-4,464898
6,465100
-1,465203
-4,465303
1,465405
-2,465606
2,465709
4,465809
-2,465911
0,466114
-4,466214
-2,466317
1,466417
-2,466620
0,466722
8,466823
-1,466925
1,467128
-1,467228
-3,467331
1,467431
0,467634
1,467734
5,467836
-4,467937
1,468140
-2,468242
0,468342
7,468445
-2,468647
5,468748
-4,468850
-3,468951
6,469153
-1,469256
0,469356
3,469458
-8,469559
12,469661
-12,469762
-1,469864
9,470067
-1,470167
-6,470267
-1,470370
-17,470573
11,470673
18,470775
-15,470876
-5,471078
-6,471181
9,471281
9,471384
-4,471586
3,471687
-4,471789
8,471889
4,472092
0,472195
-4,472295
-2,472397
7,472600
-5,472700
0,472803
-2,472903
2,473106
3,473206
-9,473309
5,473409
-1,473612
4,473714
1,473815
1,473917
1,474120
6,474626
2,474728
-9,474828
-5,475131
5,475234
-5,475334
-2,475437
5,475537
-3,475639
-1,475740
2,475842
4,476045
5,476145
-9,476248
7,476348
-9,476551
2,476653
3,476753
-1,476856
1,477057
0,477159
-8,477259
2,477362
-4,477564
1,477665
4,477767
-8,477868
1,478070
-3,478173
3,478273
1,478375
-2,478578
9,478679
0,478781
-3,478881
-4,479084
-4,479184
5,479287
0,479387
1,479590
-1,479692
-3,479793
1,479895
1,480098
5,480198
-4,480301
-1,480401
0,480604
1,480706
2,480806
0,480909
-3,481009
1,481112
0,481212
-5,481312
5,481515
0,481617
